event_id,system_id,timestamp,os_name,os_version,cpu_model,cpu_cores_physical,cpu_threads,cpu_clock_base_ghz,cpu_usage_pct,ram_total_gb,ram_usage_pct,gpu_model,gpu_vram_total_gb,gpu_vram_usage_pct,storage_primary_type,storage_free_gb,display_resolution,system_overall_score
3c26b70d-e47e-484f-8b4f-e60c38ee7278,947a6c1f-7505-4e0d-a41f-d15d8e245edb,2026-09-07T20:27:17.017918Z,Ubuntu Linux,22.04 LTS,Intel Core i5-14452KF,6,12,3.3,38.2,4,63.21,AMD Radeon RX 6600,4.0,70.21,NVMe SSD,912.59,1920x1080,4.39
c8871d2e-255d-460b-9ff1-b2333b1f6e12,3e0e93e9-0951-46ed-a142-3a7af96b4a07,2026-09-11T14:20:24.017918Z,Windows 11,22H2,Intel Core i3-12526F,4,8,3.5,94.03,8,58.47,NVIDIA GeForce RTX 3050 Ti,8.0,70.39,NVMe SSD,345.57,1366x768,4.73
344b3591-f93e-4a82-9322-ecc8842766f7,cfe3f902-451d-43af-af55-ec0395d767ed,2026-09-02T22:38:14.017918Z,Windows 10,22H2,AMD Ryzen 5 7900,6,12,3.7,99.5,4,49.31,NVIDIA GeForce RTX 4060,12.0,72.16,SATA SSD,451.03,1920x1080,5.49
9854a6c1-6a23-439b-959d-7807d95a2f69,d22544c3-efcf-4163-916e-f406be9c6389,2026-09-08T09:26:54.017918Z,Windows 11,22H2,Intel Core i5-9516KF,10,16,2.6,3.02,16,91.2,Intel Iris Xe Graphics,0.0,0.0,SATA SSD,797.26,1920x1080,3.82
46c7dd93-4199-4b88-9b4b-146f38f410ee,d330d5ed-154a-4d6e-bb32-fe1cd9c84bae,2026-08-30T18:52:48.017918Z,Windows 10,22H2,AMD Ryzen 5 5800X,6,12,3.7,99.48,8,60.45,NVIDIA GeForce RTX 3050,6.0,78.78,SATA SSD,606.45,1920x1080,4.3
cbaf11ca-7130-45bb-b954-6a1db5c71913,8258fd62-4cd8-4224-bc8b-79f737b31735,2026-08-31T06:11:58.017918Z,Windows 10,22H2,Intel Core i9-13154,16,24,3.5,39.01,8,62.26,NVIDIA GeForce RTX 3070,6.0,28.61,SATA SSD,564.55,1920x1080,6.1
b464de66-f2f6-42f6-b48c-92d59d2324b2,bd2fa4e3-8ad0-40e8-bd74-5fb1015488cd,2026-09-13T12:22:59.017918Z,Fedora,14.2,AMD Ryzen 5 4600,6,12,3.5,56.88,16,71.17,AMD Radeon RX 7600,4.0,86.34,SATA SSD,64.02,1366x768,4.6
b705d9bf-d967-4608-a683-324d2de70848,6dc6e97c-bdc8-40dc-8af9-433b3085b910,2026-09-11T10:08:18.017918Z,Windows 10,22H2,AMD Ryzen 5 3400X,6,12,3.2,44.56,16,29.74,NVIDIA GeForce RTX 2060,8.0,37.93,SATA SSD,114.2,1366x768,5.63
0efdffb8-9907-415d-ab85-ea91533d2c5d,f3661a6e-89ac-431b-8e16-ce3e330b7348,2026-08-25T19:32:55.017918Z,Windows 11,22H2,Intel Core i3-9177KF,4,4,3.3,46.24,8,53.04,Intel Iris Xe Graphics,0.0,0.0,SATA SSD,32.68,1920x1080,2.28
c5053f72-0b10-48f9-89a2-6296cdf9b8e9,30fefba9-689a-4b19-9b32-9e3baca2c180,2026-08-29T07:27:19.017918Z,Windows 11,22H2,AMD Ryzen 5 4400,6,12,3.4,55.6,8,33.96,AMD Radeon RX 7600,8.0,67.73,SATA SSD,170.79,1366x768,5.17
a4ef0ac4-f9d4-4020-ac57-e829b4ea1857,37bb1fd9-165d-42cf-887b-c73b7d9fe848,2026-09-02T17:27:33.017918Z,Windows 11,22H2,AMD Ryzen 3 3200X,4,8,3.5,4.9,12,23.74,Intel Iris Xe Graphics,0.0,0.0,SATA SSD,634.82,1366x768,3.25
08214ba2-4a61-4a67-b9a5-539caff7b720,039570aa-74bb-4924-870b-4c5629c60b8a,2026-08-28T17:37:02.017918Z,Windows 11,22H2,Intel Core i5-10422,10,16,2.8,83.29,12,33.61,NVIDIA GeForce RTX 3050,6.0,60.79,HDD,395.65,1920x1080,5.25
62eb710e-25c6-4179-b89d-318370b80e10,4cdcd50e-5581-4d89-a69f-bb2f72571e9f,2026-09-02T08:35:32.017918Z,Windows 10,22H2,Intel Core i7-14344F,12,20,3.8,50.22,8,36.88,NVIDIA GeForce GTX 1650 Super,6.0,88.33,NVMe SSD,310.3,1920x1080,6.41
beacbce3-1656-4d54-ac17-587ee8c41f84,e4d3a8df-63c3-4408-9f66-f4e0cf516bda,2026-08-25T06:01:27.017918Z,Windows 11,22H2,Intel Core i5-13571K,10,16,3.0,43.12,8,66.73,NVIDIA GeForce RTX 3050 Ti,8.0,52.3,HDD,15.12,2560x1080,4.52
3ca6adb8-507b-4ac9-9cf9-9bfbf19570c8,cc007e0a-3cb9-4661-8bb5-18d8a3fae3df,2026-09-16T13:13:37.017918Z,Debian Linux,22.04 LTS,AMD Ryzen 5 7200,6,12,3.7,65.35,8,19.39,NVIDIA GeForce RTX 3050,8.0,61.07,SATA SSD,155.62,2560x1080,5.21
ee4db901-39ee-48ec-990a-f3ddf176ed28,51941595-b470-4eb6-970b-d044889c1572,2026-09-01T13:54:53.017918Z,Windows 10,22H2,AMD Ryzen 3 4900X,4,8,3.7,98.55,8,47.09,Intel HD Graphics 620,0.0,0.0,NVMe SSD,736.22,1920x1080,2.78
764bb7e7-3fec-4321-a1bc-5fee1ec6c196,b90bbda0-5bba-439f-93b5-baecc6e69e6b,2026-08-27T18:41:37.017918Z,Windows 11,22H2,AMD Ryzen 5 5800G,6,12,3.8,76.18,8,48.7,NVIDIA GeForce RTX 3070 Ti,12.0,46.81,NVMe SSD,781.39,2560x1080,6.82
a3b7e609-23f4-4948-9885-a7953a1d6f35,2146f001-af08-461e-8e83-6a08f41b2c10,2026-09-13T07:20:36.017918Z,Windows 10,22H2,Intel Core i5-10299F,10,16,3.0,7.52,16,37.17,NVIDIA GeForce RTX 4060 Ti,12.0,56.33,SATA SSD,394.22,1920x1080,7.52
25fbeaa0-c661-40c3-8910-87a657312a6b,bb57938f-8572-4cb9-b6d0-59b0b6ef3e3b,2026-09-14T22:21:27.017918Z,Windows 10,22H2,Intel Core i3-11353,4,8,3.7,63.24,8,12.98,Intel UHD Graphics 630,0.0,0.0,SATA SSD,150.18,1920x1080,2.78
3fbbff94-2ff9-4f09-8bcc-4ada06b50aba,ee0b93f7-97b4-4d3b-bb61-f87fe51d85a7,2026-08-25T12:41:25.017918Z,Windows 11,22H2,AMD Ryzen 5 4200G,6,12,3.8,34.11,4,20.64,AMD Radeon RX 6700 XT,12.0,7.17,NVMe SSD,448.2,1366x768,6.51
1aab2a72-a52b-474b-8a83-e9b6cd3948cd,e64d86c9-a2cd-4b1b-8fd0-5d8a284e6cb7,2026-09-14T21:46:03.017918Z,Ubuntu Linux,22.04 LTS,AMD Ryzen 5 3900X,6,12,3.7,73.15,8,44.65,NVIDIA GeForce RTX 3060,8.0,40.28,SATA SSD,538.35,1920x1080,5.4
7aae47be-bd45-4343-b944-ade5668df803,16533f8b-6978-4cf7-a956-5400aa8b1595,2026-09-21T18:34:48.017918Z,Ubuntu Linux,22.04 LTS,Intel Core i5-11549,6,12,3.2,88.39,8,61.41,AMD Radeon RX 6600,4.0,65.04,SATA SSD,462.99,1366x768,4.28
229a4af8-d44b-4980-8a65-f3dde5ef4420,341222a9-28f8-48fc-b3a6-4098001da6ad,2026-08-28T14:53:16.017918Z,Windows 11,22H2,Intel Core i5-11245,6,12,2.9,68.38,8,17.89,AMD Radeon RX 7600,8.0,81.26,SATA SSD,174.93,1366x768,5.05
28c465a2-a578-4036-a559-a47f588fd8d6,62f6e0b7-d949-41ae-8148-0b140937f759,2026-09-10T20:12:20.017918Z,Windows 11,22H2,AMD Ryzen 5 7200,6,12,3.2,96.86,16,10.82,NVIDIA GeForce GTX 1650 Super,4.0,77.17,SATA SSD,744.76,1920x1080,4.3
b09c5ed3-224e-4253-a018-64c044b1055d,c0050a70-d7a7-4b8f-8bc2-89c34466b659,2026-08-28T13:29:23.017918Z,Windows 11,22H2,AMD Ryzen 9 4600X,12,24,4.4,9.62,8,45.17,NVIDIA GeForce RTX 2060 Ti,6.0,17.8,NVMe SSD,118.32,1920x1080,6.36
f4a7780f-c214-4e13-903c-d07bd5e07bc1,04f7f3b7-0f91-429f-b5e5-1c31637653f7,2026-09-08T15:08:47.017918Z,Windows 10,22H2,AMD Ryzen 7 4700,8,16,4.2,99.5,16,67.33,NVIDIA GeForce RTX 4060 Ti,12.0,47.48,NVMe SSD,484.41,1920x1080,7.32
54b3f101-4866-491d-83ad-8e4ad6b39ecf,6a02f7cd-7edf-4550-abfe-4b56b6172ae8,2026-09-10T07:29:05.017918Z,Windows 11,22H2,Intel Core i5-10616,6,12,2.6,69.54,16,71.04,AMD Radeon RX 7600 XT,12.0,76.35,NVMe SSD,310.83,1366x768,7.15
08128e20-f41d-4d8e-8425-a8137f1bc7b3,2941bfb7-7c3b-4f8d-8b7a-444a36d3a03c,2026-09-12T09:14:14.017918Z,Windows 11,22H2,AMD Ryzen 5 5400G,6,12,3.2,97.59,8,90.22,NVIDIA GeForce RTX 4060 Ti,12.0,33.51,SATA SSD,514.89,1920x1080,5.07
69a49d37-fb9b-44af-bcef-89a104022b00,2d20354a-a01c-4000-821d-d0feabd0925c,2026-09-01T19:44:37.017918Z,Windows 10,22H2,AMD Ryzen 5 4600,6,12,3.6,73.14,16,92.0,NVIDIA GeForce RTX 3060,6.0,67.7,NVMe SSD,212.82,1366x768,5.23
8916ad15-c771-492b-b98c-75fcda5af581,e16d8324-54d7-4c8c-bf7a-294dcb5b841e,2026-08-28T14:02:03.017918Z,Ubuntu Linux,22.04 LTS,AMD Ryzen 5 5700G,6,12,3.4,56.12,8,31.95,Intel HD Graphics 620,0.0,0.0,SATA SSD,15.37,1920x1080,2.36
9c87046f-d13d-44c1-b2c8-803220f028fa,03f0d6f7-385c-4dab-a000-5c8e33c0526e,2026-09-01T03:47:11.017918Z,Windows 11,22H2,Intel Core i7-11873,8,16,3.6,36.39,12,94.92,AMD Radeon RX 580,4.0,75.11,NVMe SSD,729.81,1600x900,4.9
3f39a067-f321-4681-9fec-7063eb6c0e4e,eddd6e94-3be6-41e9-acbf-8c42fe0a44ea,2026-09-20T17:52:36.017918Z,Windows 11,22H2,Intel Core i3-11623,4,8,3.1,80.53,16,61.31,Intel UHD Graphics 630,0.0,0.0,SATA SSD,873.6,1920x1080,3.46
01957368-5a27-41bc-8c4b-15ae7d3175a2,c1b69d83-5a79-48e9-8830-a5e7355790de,2026-09-19T03:10:09.017918Z,Windows 10,22H2,AMD Ryzen 7 5600X,8,16,3.9,88.03,8,83.65,NVIDIA GeForce RTX 4060,8.0,56.2,SATA SSD,142.07,1920x1080,5.65
48ed3dcb-679a-4883-b65a-95c7b2511093,b2577e8d-a969-482e-8f98-e938424a8b98,2026-09-17T20:25:19.017918Z,Windows 10,22H2,Intel Core i3-10678,4,8,3.3,40.0,16,40.49,Intel HD Graphics 620,0.0,0.0,HDD,75.37,1920x1080,2.76
06608c7c-97c3-4239-bf74-04427b244f5b,3e63b9a1-c9dd-42f6-a06b-84c782c35083,2026-09-06T04:36:35.017918Z,Ubuntu Linux,22.04 LTS,Intel Core i5-12647K,10,16,2.9,85.26,8,27.17,NVIDIA GeForce RTX 4060,8.0,46.06,SATA SSD,877.2,3840x2160,5.87
d5e07f44-a81c-4156-b618-a7129f31cfcd,1fead24e-d09a-4fdb-85bd-43fc18adbc0c,2026-09-06T05:49:47.017918Z,Windows 10,22H2,AMD Ryzen 9 3600,12,24,3.7,5.73,8,46.76,NVIDIA GeForce RTX 3070,12.0,18.35,NVMe SSD,927.9,1920x1080,8.05
6f311240-7659-4f18-bfbf-d82301603e5e,f2d0a843-c868-48fb-9149-ce937751b57c,2026-09-20T16:15:24.017918Z,Windows 10,22H2,AMD Ryzen 7 7600,8,16,3.9,60.84,8,69.0,NVIDIA GeForce RTX 4060,6.0,67.59,NVMe SSD,792.66,1366x768,5.77
418f9766-0d72-4c97-a048-f3260f1195b0,7b9a3cee-6a4d-4a80-b569-75438629abda,2026-09-03T06:30:56.017918Z,Ubuntu Linux,22.04 LTS,AMD Ryzen 7 3700,8,16,4.2,17.37,16,10.76,None,0.0,0.0,NVMe SSD,609.8,1920x1080,4.92
0e4f4c5c-f460-4eef-b87f-1c2d9148bd5a,9f2daa3a-6a27-4bc6-a49a-1f5dc6934f7e,2026-09-01T13:45:20.017918Z,Windows 11,22H2,AMD Ryzen 5 7600,6,12,3.6,56.33,16,66.82,AMD Radeon RX 7600,12.0,81.89,NVMe SSD,822.16,3840x2160,7.4
9431cc05-8081-4ee9-9649-10aafe7f0438,2bfe0a47-35c7-4632-bf32-30293ec4f3c6,2026-09-13T05:07:26.017918Z,Windows 10,22H2,AMD Ryzen 3 3200X,4,4,3.5,98.91,8,31.72,AMD Radeon RX 580,4.0,95.46,NVMe SSD,117.25,1920x1080,3.3
8d637e55-5551-446f-a6d9-147b3fcf5a42,6575db26-7b40-43e9-a2da-073b3de058f5,2026-09-02T20:15:54.017918Z,Windows 11,22H2,Intel Core i7-10675,12,20,3.7,10.84,24,16.83,NVIDIA GeForce GTX 1660,6.0,6.06,SATA SSD,817.78,1920x1080,7.23
12e7c7d1-8272-4edf-810a-7e6227e79ba6,4b42c2f8-785e-49e8-9aa4-5653d020ee19,2026-08-27T20:08:07.017918Z,Windows 11,22H2,Intel Core i5-10388,6,12,3.2,11.06,24,43.22,AMD Radeon RX 7600,8.0,29.47,SATA SSD,940.27,1366x768,6.52
eb0e3d36-1ecf-4c35-8b96-e76760623eff,f9fcfe8d-8d56-44d8-811f-cb3962722ea3,2026-08-29T11:42:31.017918Z,Windows 10,22H2,Intel Core i5-14688K,10,16,2.6,8.11,4,63.3,AMD Radeon RX 580,12.0,30.38,SATA SSD,887.79,1920x1080,6.48
b193a6f4-df82-4db0-927d-18c2cea20c67,d351297f-6493-4d13-b66c-880077c70fe2,2026-08-24T16:47:50.017918Z,Debian Linux,22.04 LTS,AMD Ryzen 7 7800,8,16,4.1,28.16,8,91.34,NVIDIA GeForce RTX 3060 Ti,8.0,95.56,SATA SSD,282.05,1920x1080,5.29
49b150d8-da74-44d7-af14-18b15fcb1657,31012bc8-6d9e-4c0d-b719-5c6e93b55865,2026-09-08T04:41:59.017918Z,Windows 11,22H2,Intel Core i3-10441,4,4,3.4,31.65,8,83.92,Intel HD Graphics 620,0.0,0.0,SATA SSD,876.39,1920x1080,2.74
bf5b3fab-d321-429d-8bfa-614aa7f3e499,748f016e-428e-4614-a2c4-336fa1a7f840,2026-09-18T21:22:43.017918Z,Windows 10,22H2,AMD Ryzen 3 7900,4,8,3.7,84.26,16,85.68,NVIDIA GeForce RTX 3050,3.0,49.55,SATA SSD,109.8,1920x1080,4.08
dbf4aa1e-0ab8-4160-8cff-b7af44691d16,843071c0-8801-4b31-9618-193c57685bff,2026-09-08T02:00:05.017918Z,Windows 11,22H2,AMD Ryzen 7 4400,8,16,4.0,44.7,12,82.48,AMD Radeon RX 7600,8.0,30.83,NVMe SSD,771.23,1920x1080,6.6
32d7a235-09fd-4055-b604-b07fc5cbe3c3,39be1ed4-3049-4df3-aea2-93606f9c8477,2026-08-26T02:09:12.017918Z,Windows 11,22H2,AMD Ryzen 5 7200X,6,12,3.8,90.32,8,80.55,AMD Radeon RX 6600,12.0,43.53,SATA SSD,56.53,1920x1080,5.44
9abc8b76-720d-4c6f-8e63-ddc0d61700ea,9319a661-1f08-44dd-9aaf-becb09fc7b09,2026-09-19T22:19:00.017918Z,Windows 11,22H2,AMD Ryzen 7 7700,8,16,3.5,71.68,8,48.24,AMD Radeon RX 580,12.0,22.37,SATA SSD,459.26,1920x1080,6.77
04b54df5-ce53-4037-b3e3-2999046b8df8,d293640e-2f0f-488b-abcc-bbf4a9ca3df8,2026-09-15T17:17:11.017918Z,macOS,14.2,Intel Core i5-12480K,6,12,3.1,30.89,4,45.74,NVIDIA GeForce RTX 3070 Ti,12.0,78.91,SATA SSD,415.58,2560x1440,5.94
bfbd87cc-4047-4baf-ae97-6d87c92175f9,f2aee53a-9b80-4fc6-9026-773b6875304c,2026-09-20T21:23:42.017918Z,Windows 10,22H2,Intel Core i5-12329F,10,16,3.6,24.98,24,39.19,NVIDIA GeForce RTX 3050,12.0,80.2,NVMe SSD,494.73,1920x1080,8.69
888e4c54-16e0-45b2-827d-fec517df58d1,a7070cb3-505f-43c8-a0bd-57702b1eed34,2026-09-20T14:31:38.017918Z,Windows 10,22H2,Intel Core i3-9387F,4,8,3.2,42.02,8,73.68,AMD Radeon RX 5500,8.0,95.7,SATA SSD,238.84,1920x1080,4.84
439e431b-fb9e-4296-ae99-1f0af19c6b5c,ace3e091-811b-4ff8-9de9-0ac7aad00d53,2026-09-02T05:02:52.017918Z,Windows 11,22H2,Intel Core i3-12476K,4,4,3.8,76.64,8,18.7,AMD Radeon Vega 7,0.0,0.0,HDD,851.88,1920x1080,2.44
a8499636-b4ee-49cb-86e9-89dc7a716cd6,135922fb-05e3-4359-aa1e-5daa6a26b687,2026-08-28T19:50:23.017918Z,Ubuntu Linux,22.04 LTS,AMD Ryzen 9 7600X,12,24,4.3,63.56,8,55.18,NVIDIA GeForce RTX 2060,8.0,18.78,HDD,611.92,1920x1080,6.32
b4c5ab10-e60d-4026-9efa-9f36d9d07e4f,0a98f52e-8c56-49f7-a179-932ab34dd1ff,2026-09-04T07:56:49.017918Z,Windows 10,22H2,Intel Core i3-11411,4,8,3.7,6.23,8,33.69,AMD Radeon RX 6600,4.0,57.01,NVMe SSD,397.05,1920x1080,4.38
b1a39402-1279-493e-8fd6-019f026ecc4a,976247f6-80dc-4411-aeed-8d59c51b9345,2026-09-19T04:37:12.017918Z,Windows 10,22H2,AMD Ryzen 9 7900,12,24,4.2,20.11,8,79.33,NVIDIA GeForce RTX 3050,8.0,90.89,NVMe SSD,54.53,1920x1080,6.73
8630035d-6a59-4bb8-8de1-53fd22fa234b,1da724e2-08aa-407d-a4c0-a5c8a386ef4b,2026-09-16T01:52:44.017918Z,Windows 10,22H2,Intel Core i5-11431,6,12,3.7,60.87,16,16.5,NVIDIA GeForce RTX 3070,12.0,39.0,SATA SSD,163.51,1920x1080,6.85
0fac023c-afa0-4677-b218-1a62edc7c33e,cab55e4b-928c-4f85-92fa-a0a5ba639c4d,2026-09-12T06:58:40.017918Z,Windows 10,22H2,AMD Ryzen 3 7200X,4,8,3.7,49.31,16,52.7,AMD Radeon Vega 8,0.0,0.0,HDD,69.27,1920x1080,2.85
4538445a-121d-41f6-b0ab-e7c9700cf17d,5e7dbccb-2813-4f01-8d23-7b29dd8e94ac,2026-09-13T09:07:37.017918Z,Windows 10,22H2,Intel Core i3-12174F,4,4,3.1,35.09,16,13.44,AMD Radeon Vega 8,0.0,0.0,NVMe SSD,944.95,1920x1080,3.69
a6ff02bf-006a-40c3-9829-795eeaf965ec,abb5c22b-960e-4ef6-8aa5-59f7902498e8,2026-08-31T17:20:23.017918Z,Windows 11,22H2,AMD Ryzen 5 3700X,6,12,3.6,13.42,8,51.35,Intel HD Graphics 620,0.0,0.0,NVMe SSD,746.64,1600x900,3.78
20d0aecc-472a-443e-beb1-3e05bf317c51,c96b4a0e-a7eb-4ffb-b0c5-01a09afef5fc,2026-09-17T02:33:50.017918Z,Windows 10,22H2,AMD Ryzen 5 5200X,6,12,3.5,47.74,4,20.95,NVIDIA GeForce RTX 3060 Ti,6.0,9.9,SATA SSD,332.4,1920x1080,4.54
681466fd-013e-41ef-bf6f-0692a5b08135,79792525-50ea-467d-bc70-5a13465c2efa,2026-08-24T01:12:32.017918Z,Windows 10,22H2,Intel Core i9-13250,16,24,3.7,88.66,16,70.46,None,0.0,0.0,NVMe SSD,490.85,1366x768,5.68
57dfe511-7db0-4d8c-a306-751a697b601a,64d3116a-6065-40af-9855-bf69581772da,2026-09-16T04:47:32.017918Z,Windows 11,22H2,AMD Ryzen 7 4600X,8,16,3.8,43.96,16,69.88,NVIDIA GeForce RTX 2060,6.0,57.75,NVMe SSD,756.03,2560x1440,6.37
97a4d850-f711-48a3-a0b8-6ba4e300e476,5b4c3eff-bcc5-4f7f-a280-03231c9c5c1b,2026-08-29T06:35:43.017918Z,Windows 10,22H2,Intel Core i7-13390,12,20,3.7,95.46,8,72.68,AMD Radeon RX 6600,12.0,57.85,SATA SSD,917.7,1920x1080,6.88
06012cd1-b9e5-4aac-a85d-1d37cdca2cd8,84c62be2-b45b-4d33-bdaa-f243717a71c6,2026-09-11T09:37:12.017918Z,Windows 10,22H2,AMD Ryzen 5 5200G,6,12,3.3,45.86,8,60.52,None,0.0,0.0,NVMe SSD,531.15,1920x1080,3.7
64447298-99ee-4199-93c7-9e08e744b51d,12e5336b-b8c7-40df-9af2-aea81ba231b3,2026-08-27T05:53:26.017918Z,Windows 11,22H2,Intel Core i5-11520,10,16,3.4,20.53,8,95.4,AMD Radeon RX 6600,8.0,66.72,NVMe SSD,608.14,1366x768,5.79
4d99d92c-b085-4a74-b107-88ccc52f31f1,33906817-e344-4a08-ba11-e149eb7b2b08,2026-08-26T18:44:11.017918Z,Windows 10,22H2,Intel Core i5-14268K,6,12,3.1,94.55,32,57.78,NVIDIA GeForce RTX 3050,8.0,57.25,NVMe SSD,750.94,1920x1080,6.93
